UNIT,CHIPLET,RELEASED_WA_PATH,RTL_TAG,RELEASE_TYPES,RELEASE_USER,RELEASE_TIMESTAMP
dqamdi,QNS,/home/scratch.seeman_vlsi_1/agur/1nl/dqamdi/dqamdi_rbv_2025_09_18_agur_condb_int3_2025_08_27_0_1NL_snap_q2si_dsr,"dqamdi_rbv_2025_09_18_agur_condb_int3_2025_08_27_0_1NL_snap","STA",seeman,2025/11/13 17:18:16,/home/agur_backend_blockRelease/block/dqamdi/dqamdi_rbv_2025_09_18_agur_condb_int3_2025_08_27_0_1NL_snap_q2si_dsr__2025_11_13_17_18_16
dqamdo,QNS,/home/scratch.abarman_vlsi/agur/1NL/DQAMO_NEW/1NL_run2_scan_VIVID_ECO/dqamdo_rbv_2025_09_18_agur_condb_int3_2025_08_27_0_1NL_snap_vivideco,"dqamdo_rbv_2025_09_18_agur_condb_int3_2025_08_27_0_1NL_snap","STA,PNR,FE_DCT",abarman,2025/11/13 18:23:21,/home/agur_backend_blockRelease/block/dqamdo/dqamdo_rbv_2025_09_18_agur_condb_int3_2025_08_27_0_1NL_snap_vivideco__2025_11_13_18_23_21
dqap,QNS,/home/scratch.drazmizrahi_vlsi/dqap/dqap_copy_from_tal/pnr_flow/nv_flow/dqap/ipo1013_chiplet_4_eco/nbu_signoff,"dqap_rbv_2025_09_05_agur_condb_int3_2025_08_27_0_1NL_snap","STA",drazmizrahi,2025/11/13 18:23:59,/home/agur_backend_blockRelease/block/dqap/nbu_signoff_dqap_copy_from_tal_ipo1013_2025_11_13_18_23_59
dqavi,QNS,/home/scratch.abarman_vlsi/agur/1NL/DQAVI/1NL_run1_eco/dqavi_rbv_2025_09_09_agur_condb_int3_2025_08_27_0_1NL_snap_eco,"dqavi_rbv_2025_09_09_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR,FE_DCT",abarman,2025/11/13 10:40:17,/home/agur_backend_blockRelease/block/dqavi/dqavi_rbv_2025_09_09_agur_condb_int3_2025_08_27_0_1NL_snap_eco__2025_11_13_10_40_17
dqavo,QNS,/home/scratch.gnarla_vlsi_1/agur/1NL/dqavo/dqavo_rbv_2025_09_09_agur_condb_int3_2025_08_27_0_1NL_snap_path_groups,"dqavo_rbv_2025_09_09_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR",gnarla,2025/11/13 08:58:17,/home/agur_backend_blockRelease/block/dqavo/dqavo_rbv_2025_09_09_agur_condb_int3_2025_08_27_0_1NL_snap_path_groups__2025_11_13_8_58_17
dqax,QNS,/home/scratch.hmendelovich_vlsi/dqax_from_matan2,"dqax_rbv_2025_09_07_agur_condb_int3_2025_08_27_0_1NL_snap","STA",hmendelovich,2025/11/12 22:33:43,/home/agur_backend_blockRelease/block/dqax/dqax_from_matan2__2025_11_12_22_33_43
dql,QNS,/home/scratch.aazran_vlsi/dql/040925_1nl_reff_fixed_v0/pnr_flow/nv_flow/dql/ipo1005/nbu_signoff,"dql_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA",aazran,2025/11/13 17:23:00,/home/agur_backend_blockRelease/block/dql/nbu_signoff_040925_1nl_reff_fixed_v0_ipo1005_2025_11_13_17_23_0
dqs,QNS,/home/scratch.abarman_vlsi/agur/1NL/DQS/1NL_run1_SO/dqs_rbv_2025_08_28_agur_condb_int3_2025_08_27_0_snap_r1_so,"dqs_rbv_2025_08_28_agur_condb_int3_2025_08_27_0_snap","STA,FCL,PNR,FE_DCT",abarman,2025/11/13 10:43:14,/home/agur_backend_blockRelease/block/dqs/dqs_rbv_2025_08_28_agur_condb_int3_2025_08_27_0_snap_r1_so__2025_11_13_10_43_14
eds,QNS,/home/scratch.eelgabsi_vlsi/AGUR/PARTITIONS/1nl/qns/eds/eds_rbv_2025_10_06_agur_condb_int3_2025_08_27_0_r0/pnr_flow/nv_flow/eds/ipo1010_eco4/nbu_signoff,"eds_rbv_2025_10_06_agur_condb_int3_2025_08_27_0_r0","STA",eelgabsi,2025/11/13 22:16:47,/home/agur_backend_blockRelease/block/eds/nbu_signoff_eds_rbv_2025_10_06_agur_condb_int3_2025_08_27_0_r0_ipo1010_2025_11_13_22_16_47
qcorel,QNS,/home/scratch.ronil_vlsi_1/agur/qcorel/qcorel_l0_21_10_25_new_scratch/pnr_flow/nv_flow/qcorel/ipo1006/nbu_signoff,"qcorel_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA",ronil,2025/11/16 10:19:52,/home/agur_backend_blockRelease/block/qcorel/nbu_signoff_qcorel_l0_21_10_25_new_scratch_ipo1006_2025_11_16_10_19_52
qcorer,QNS,/home/scratch.ronil_vlsi/qcorer/qcorer_r2_21_10_25_tpi/pnr_flow/nv_flow/qcorer/ipo1012/nbu_signoff,"qcorer_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA",ronil,2025/11/11 09:59:05,/home/agur_backend_blockRelease/block/qcorer/nbu_signoff_qcorer_r2_21_10_25_tpi_ipo1012_2025_11_11_9_59_5
